A,B,C
42,15,630
10,42,420
70,37,2590
30,32,960
654,12,7848
35,57,1995
86,11,946
40,54,2160
81,91,7371
4,82,328
42,6,252
3,59,177
96,82,7872
12,67,804
45,51,2295
29,64,1856
25,60,1500
8948,89,796372
69,71,4899
72,66,4752
76,14,1064
72,100,7200
2,4964,9928
4984,564,8d
65,77,5005
41,28,1148
88,57,5016
500,464,232000
29,2,58
65,78,5070
62,13,806
54,48,2592
32,2,64
21,5464,114744
14,4154,58156
18,10,180
47,23,1081
45,95,4275
89,47,4183
414,18,7452
33,97,3201
73,48,3504
98,57,5586
15,19,285
52,77,4004
949,12,11388
67,70,4690
87,42,3654
485,28,13580
2,21,42
4894,12,58728
16,19,304
72,96,6912
16,65,1040
73,71,5183
77,70,5390
65,62,4030
53,46,2438
14,212,2968
55,9,495
12,12,144
16,18,288
86,47,4042
84,36,3024
0,83,0
49,64,3136
54,5,270
25,984,24600
26,78,2028
40,34,1360
25,24,600
42,17,714
37,24,888
94,78,7332
42,425,17850
4,65,260
14,95,1330
16,61,976
0,141,0
72,31,2232
73,18,1314
57,82,4674
54,84,4536
18,59,1062
52,48,2496
63,25,1575
165,24,3960
2,22,44
41,72,2952
55,27,1485
12,12,144
34,63,2142
23,93,2139
30,46,1380
15,18,270
51,59,3009
72,29,2088
4,5,20
23,13,299
42,84,3528
12,24,288
89,85,7565
68,81,5508
29,9,261
8,87,696
23,16,368
15,8,120
83,48,3984
33,31,1023
70,77,5390
4,,0
19,9,171
1,93,93
77,10,770
75,55,4125
14,79,1106
65,29,1885
15,94,1410
14,12,168
15,40,600
92,100,9200
69,7,483
70,30,2100
3,62,186
96,69,6624
8,42,336
18,23,414
69,56,3864
36,65,2340
949,25,23725
91,82,7462
51,10,510
46858,25,1171450
41,64,2624
23,35,805
90,10,900
49,30,1470
29,24,696
94,40,3760
37,53,1961
83,93,7719
27,21,567
489,15,7335
66,22,1452
4654,89,414206
23,73,1679
99,76,7524
74,67,4958
1,49,49
5,79,395
4865,97494,474308310
79,4,316
29,70,2030
6,9,54
30,57,1710
95,77,7315
99,71,7029
87,97,8439
3,29,87
93,2,186
36,38,1368
14,48,672
50,67,3350
99,15,1485
42,62,2604
90,20,1800
59,7,413
95,90,8550
651,14,9114
60,32,1920
45,10,450
36,13,468
3,6,18
96841,61,5907301
5,20,100
46,65,2990
23,151,3473
55,65,3575
9,53,477
40,63,2520
29,7,203
5,616,3080
70,62,4340
55,81,4455
74,80,5920
39,16,624
34,56,1904
53,33,1749
2,52,104
75,4,300
49,12,588
12,94,1128
-4865,8789,-42758485
51,39,1989
28,39,1092
16,55,880
53,21,1113
99,20,1980
32,897,28704
9849,2,19698
84,97,8148
89,65,5785
19,67,1273
-21,-4984,104664
57,19,1083
72,76,5472
54,29,1566
65,22,1430
26,43,1118
19,52,988
56,68,3808
33,92,3036
3,90,270
93,39,3627
46,29,1334
84,4,336
28,6,168
28,75,2100
91,45,4095
30,76,2280
32,78,2496
64,91,5824
17,92,1564
85,13,1105
57,95,5415
63,45,2835
8489,24,203736
100,42,4200
5,52,260
498,3,1494
32,7,224
99,86,8514
32,41,1312
55,84,4620
81,8,648
39,11,429
8519684,84,715653456
88,71,6248
10,19,190
96,23,2208
21,230,4830
55,38,2090
54,79,4266
75,31,2325
57,3,171
1,91,91
14,17,238
19,65,1235
9681,12,116172
38,44,1672
5,121,605
2,6556,13112
30,97,2910
68,82,5576
18,6,108
97,83,8051
25,64,1600
74,6,444
84,18,1512
25,76,1900
50,57,2850
85,70,5950
68,85,5780
52,5,260
78,67,5226
72,67,4824
86,38,3268
89,91,8099
75,9,675
,2,0
40,64,2560
8667,91589,793801863
44,99,4356
96,100,9600
86,91,7826
-195616,-3,586848
83,68,5644
66,50,3300
4,0,0
25,24,600
24,465,11160
51,489,24939
84,77,6468
89,58,5162
30,45,1350
50,25,1250
53,73,3869
2,88,176
2,52,104
37,34,1258
73,24,1752
17,18,306
83,99,8217
57,66,3762
-10,-48584,485840
30,564,16920
98,889,416e
19,18,342
33,76,2508
46,156,7176
10,42,420
75,83,6225
13,78,1014
93,43,3999
5,9498,47490
10,4949,49490
31,46,1426
4,798,3192
8489,4964,42139396
24,1,24
37,79,2923
864,41,35424
14,4984,69776
70,4,280
44,93,4092
45,55,2475
14,57,798
15,68,1020
798,25,19950
71,23,1633
28,34,952
71,14,994
24,81,1944
2,5,10
8,4,32
61,13,793
13,4,52
7498,494,3704012
31,37,1147
16,24,384
15,4798,71970
34,57,1938
78,22,1716
86,52,4472
4,56161,224644
43,26,1118
16,65,1040
84,849,71316
5,41,205
230,4,920
84,78,6552
78,36,2808
24,24,576
5,2,10
35,13,455
13,40,520
69,97,6693
33,51,1683
53,34,1802
1,851,851
8519684,891,7591038444
97,8,776
74,48,3552
44,6,264
37,85,3145
59,42,2478
98,40,3920
47,40,1880
98,37,3626
17,2,34
95,23,2185
24,24,576
100,89,8900
51,46,2346
93,40,3720
47,67,3149
789,12,9468
26,62,1612
2,44,88
33,22,726
52,51,2652
82,36,2952
9494,5,47470
23,70,1610
24,61,1464
37,93,3441
89,-89,-7921
31,26,806
2,92,184
4984,4894,24391696
85,26,2210
40,14,560
12,24,408b
67,39,2613
24,96,2304
56,95,5320
51,77,3927
61,98,5978
21,65,1365
55,42,2310
69,91,6279
86,60,5160
44553,789,35152317
25,82,2050
48,46,2208
58,16,928
20,30,600
50,50,2500
15,66,990
61,32,1952
65,31,2015
91,77,7007
22,92,2024
8591,3,25773
61,45,2745
25,3,75
53,31,1643
43,61,2623
1,545,545
65,2,130
90,78,7020
37,2,74
7,30,210
2,5,10
320,85,27200
21,7,147
23,3,69
35,67,2345
20,87,1740
30,864684,25940520
76,44,3344
88,32,2816
93,67,6231
61,41,2501
14,49,686
72,83,5976
42,87,3654
4,797,3188
79,16,1264
9,851,7659
32,100,3200
90,81,7290
73,82,5986
6,24,144
49,78,3822
76,48,3648
23,18,414
5419,17,92123
46,68,3128
1,115,115
84825,1,84825
