A,B,C
3,515,1545
2,17,34
1515,17,25755
5,-12,-60
585,564,329940
4,7,28
8,15,120
151,14,2114
25,14,350
84894,18,1528092
8,19,152
45,17,765
85,17,1445
12,1564,18768
13,14,182
-10,4,-40
1,14,14
5,15,75
15,#,#VALUE!
14,17,238
17,1212,20604
16,12,192
48,1,48
14,212,2968
12,21,252
49,32,1568
16,24,384
9849,24,236376
,2,0
16,949,15184
12,42,504
10,4949,49490
14,24,336
#,28,#VALUE!
485,28,13580
48,25,1200
14,24,336
16,494,7904
12,24,288
15,2,30
641,512,328192a
25,949,23725
1641,12,19692
9,12,108
5,121,605
15,21,315
14,4154,58156
16,2,32
19,6556,124564
18,12,216
17,24,408b
12,12,144
15,61,915
949,12,11388
16,12,192
12,42,504
10,425,4250
4984,25,124600
18,,0
14,27,378
19,949,18031
17,28,476
17,27,459
18,4,72
19,984,18696
8489,24,203736
18,2,36
12,494,5928
10,5,50
1000,4,4000
10,24,240
949,2,1898
1,42,42
1,4,4
23,24,552
49849,24,1196376
24,55,1320
24,24,576
12,894894,10738728
12,25,300
1516,25,37900
19,4894,92986
17,24,408
4984,48,239232
13,8,104
12,-5616,-67392
10,29,290
15,,0
14,27,378
10,949,9490
12,24,288
15,25,375
14,494,6916
16,26,416e
4,56161,224644
949,21,19929
18,21,378
17,2,34
14,12,168
4894,12,58728
#,12,#VALUE!
10,32,320
12,56464,677568
9,232,2088
8,32,256
7,3,21c
4,202,808
849849,2,1699698
9494,2,18988
2,2,4
3,9494,28482
5,2,10
,0,0
494,20,9880
18,20,360
19,9494,180386
24,20,480
949,20,18980
24,5646,135504
9494,5,47470
21,25,525
21,494,10374
23,29,667b
21,949,19929
21,5464,114744
949,272,258128
25,72,1800
14,872242,12211388
25,5,125
12,949,11388
15,25,375
49,864684,42369516
494,25,12350
6,26,156
949,24,22776
25,26,650
949,29,27521
22,4894,107668
23,28,644
21,9549,200529
4,59,236
25,24,600
224,65456,14662144
26,26,676
25,26,650
2,95,190
4,25,100a
4594,,0
5,28,140
25,289,7225
2,22,44
561,29,16269
4,2,8d
2,52,104
9,24,216
5,849,4245
24,21,504
9498,21,199458
2,4894,9788
5,20,100
489,2,978
5,2,10
5,4984,24920
5,4984,24920
4964,2,9928
5,9498,47490
49,949,46501
6,2,12
494,4984,2462096
-89,8494,-755966
15,4894,73410
265,84848,22484720
118,48484,5721112
102,4894,499188
6546,4848,31735008
9494,9494,90136036
9459,9494,89803746
494,9494,4690036
-9785854,-9,88072686
154,64894,9993676
99,49494,4899906
97,649494,63000918
874,94949,82985426
45,64964,2923380
36,954945,34378020
-59,-949649,56029291
500,97494,48747000
654,949,620646
67,694987,46564129
659,949,625391
98494,414,40776516
8949,-5,-44745
6945,15,104175
84,21651,1818684
252,1401,353052
-151,10,-1510
500,500,250000
